Urls,Authors,Titles,Reviews,Votes,Average_rating,Number_of_Rated_people
https://www.goodreads.com/book/show/36381037-cinder,Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",62866,722,4.13,796627
https://www.goodreads.com/book/show/6479259-spirit-bound,Richelle Mead,"Spirit Bound (Vampire Academy, #5)",62084,736,4.32,282480
https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,Anne Frank,The Diary of a Young Girl,61988,787,4.17,3151457
https://www.goodreads.com/book/show/17250.The_Crucible,Arthur Miller,The Crucible,61836,822,3.6,358246
https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,Viktor E. Frankl,Man's Search for Meaning,61096,711,4.35,520054
https://www.goodreads.com/book/show/135479.Cat_s_Cradle,Kurt Vonnegut Jr.,Cat's Cradle,60635,740,4.16,362075
https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs,Thomas Harris,"The Silence of the Lambs (Hannibal Lecter, #2)",60546,784,4.21,513712
https://www.goodreads.com/book/show/23437156-six-of-crows,Leigh Bardugo,"Six of Crows (Six of Crows, #1)",60539,655,4.47,595705
https://www.goodreads.com/book/show/9777.The_God_of_Small_Things,Arundhati Roy,The God of Small Things,60405,711,3.95,267119
https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows,Kenneth Grahame,The Wind in the Willows,60017,800,3.98,195574
https://www.goodreads.com/book/show/8130077-the-screwtape-letters,C.S. Lewis,The Screwtape Letters,59591,733,4.23,375026
https://www.goodreads.com/book/show/29044.The_Secret_History,Donna Tartt,The Secret History,58688,668,4.12,414930
https://www.goodreads.com/book/show/561909.The_Hiding_Place,Corrie ten Boom,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,58669,703,4.41,290446
https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic,Shel Silverstein,A Light in the Attic,58612,781,4.33,409263
https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring,Tracy Chevalier,Girl with a Pearl Earring,58362,763,3.91,674913
https://www.goodreads.com/book/show/6752378-city-of-fallen-angels,Cassandra Clare,"City of Fallen Angels (The Mortal Instruments, #4)",58279,726,4.09,546930
https://www.goodreads.com/book/show/24770.Uglies,Scott Westerfeld,"Uglies (Uglies, #1)",57625,688,3.85,612210
https://www.goodreads.com/book/show/480204.The_Phantom_of_the_Opera,Gaston Leroux,The Phantom of the Opera,57502,737,3.96,214785
https://www.goodreads.com/book/show/24337.Ella_Enchanted,Gail Carson Levine,Ella Enchanted (Ella Enchanted #1),56964,710,3.98,408305
https://www.goodreads.com/book/show/11566.The_Green_Mile,Stephen King,The Green Mile,56889,731,4.45,274896
https://www.goodreads.com/book/show/5203.She_s_Come_Undone,Wally Lamb,She's Come Undone,56586,685,3.89,327943
https://www.goodreads.com/book/show/6068551-shiver,Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)",56106,654,3.76,466518
https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle,Haruki Murakami,The Wind-Up Bird Chronicle,55888,627,4.15,243477
https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,George R.R. Martin,"A Clash of Kings (A Song of Ice and Fire, #2)",55527,686,4.4,845146
https://www.goodreads.com/book/show/40495148-blindness,José Saramago,Blindness,55375,641,4.15,235505
https://www.goodreads.com/book/show/12691.Marley_and_Me,John Grogan,Marley and Me: Life and Love With the World's Worst Dog,55363,696,4.12,463255
https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,Diana Wynne Jones,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",54087,644,4.25,266936
https://www.goodreads.com/book/show/40874325-the-shack,William Paul Young,The Shack,53941,642,3.79,587540
https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury,William Faulkner,The Sound and the Fury,53809,674,3.86,166700
https://www.goodreads.com/book/show/10614.Misery,Stephen King,Misery,53647,699,4.18,576342
https://www.goodreads.com/book/show/30183.Marked,P.C. Cast,"Marked (House of Night, #1)",53331,630,3.8,467601
https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits,Isabel Allende,The House of the Spirits,53024,667,4.25,216658
https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,Mary Ann Shaffer,The Guernsey Literary and Potato Peel Pie Society,52917,648,4.17,677443
https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls,Ernest Hemingway,For Whom the Bell Tolls,52781,722,3.97,265674
https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas,Hunter S. Thompson,Fear and Loathing in Las Vegas,52729,636,4.07,323386
https://www.goodreads.com/book/show/19288043-gone-girl,Gillian Flynn,Gone Girl,52522,634,4.1,2621644
https://www.goodreads.com/book/show/24812.The_Complete_Calvin_and_Hobbes,Bill Watterson,The Complete Calvin and Hobbes,52491,657,4.77,38290
https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury,Sarah J. Maas,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",51967,560,4.59,600284
https://www.goodreads.com/book/show/546018.Roots,Alex Haley,Roots: The Saga of an American Family,51145,674,4.42,155595
https://www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins,Scott O'Dell,Island of the Blue Dolphins,51136,661,3.84,316479
https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Robert A. Heinlein,Stranger in a Strange Land,50986,636,3.92,292246
https://www.goodreads.com/book/show/39280444-speak,Laurie Halse Anderson,Speak,50677,623,4.03,526292
https://www.goodreads.com/book/show/6442769-paper-towns,John Green,Paper Towns,50360,594,3.75,1109239
https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,Stieg Larsson,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",50336,647,4.22,692985
https://www.goodreads.com/book/show/11297.Norwegian_Wood,Haruki Murakami,Norwegian Wood,49493,568,4.03,437131
https://www.goodreads.com/book/show/11505797-beautiful-disaster,Jamie McGuire,"Beautiful Disaster (Beautiful, #1)",49380,557,4.06,610110
https://www.goodreads.com/book/show/2184798.Blood_River,Tim Butcher,Blood River: A Journey to Africa's Broken Heart,49185,497,3.86,13103
https://www.goodreads.com/book/show/12505.The_Idiot,Fyodor Dostoevsky,The Idiot,49083,625,4.18,151709
https://www.goodreads.com/book/show/11614718-delirium,Lauren Oliver,"Delirium (Delirium, #1)",49053,564,3.96,448982
https://www.goodreads.com/book/show/12996.Othello,William Shakespeare,Othello,49006,705,3.89,345096
https://www.goodreads.com/book/show/32234.White_Oleander,Janet Fitch,White Oleander,48949,609,3.97,336776
https://www.goodreads.com/book/show/4502877-midnight-sun-2008-draft,Stephenie Meyer,Midnight Sun [2008 Draft],48749,572,4.0,153876
https://www.goodreads.com/book/show/12938.King_Lear,William Shakespeare,King Lear,48716,668,3.9,198196
https://www.goodreads.com/book/show/6801755-flow-down-like-silver,Ki Longfellow,Flow Down Like Silver: Hypatia of Alexandria,48693,503,3.79,7194
https://www.goodreads.com/book/show/28194.Inkheart,Cornelia Funke,"Inkheart (Inkworld, #1)",48662,616,3.89,405971
https://www.goodreads.com/book/show/1845.Into_the_Wild,Jon Krakauer,Into the Wild,47940,607,4.0,966936
https://www.goodreads.com/book/show/43814.The_Vampire_Lestat,Anne Rice,"The Vampire Lestat (The Vampire Chronicles, #2)",47620,611,4.07,188224
https://www.goodreads.com/book/show/43545.The_Once_and_Future_King,T.H. White,"The Once and Future King (The Once and Future King, #1-4)",47493,592,4.04,108957
https://www.goodreads.com/book/show/14497.Neverwhere,Neil Gaiman,"Neverwhere (London Below, #1)",47362,580,4.16,473046
https://www.goodreads.com/book/show/227711.I_Know_This_Much_Is_True,Wally Lamb,I Know This Much Is True,47123,562,4.19,298422
https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes,Arthur Conan Doyle,The Complete Sherlock Holmes,46850,609,4.47,187210
https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin,Harriet Beecher Stowe,Uncle Tom's Cabin,46832,655,3.88,212091
https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,Haruki Murakami,Kafka on the Shore,46740,530,4.13,367855
https://www.goodreads.com/book/show/19380.Candide,Voltaire,Candide,45846,602,3.77,241788
https://www.goodreads.com/book/show/15997.Paradise_Lost,John Milton,Paradise Lost,45452,612,3.81,152872
https://www.goodreads.com/book/show/28881.Lamb,Christopher Moore,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",45431,508,4.2,167061
https://www.goodreads.com/book/show/30236962-the-historian,Elizabeth Kostova,The Historian,45334,547,3.79,259299
https://www.goodreads.com/book/show/2493.The_Time_Machine,H.G. Wells,The Time Machine,45223,631,3.9,461463
https://www.goodreads.com/book/show/16981.Invisible_Man,Ralph Ellison,Invisible Man,44987,570,3.89,168252
https://www.goodreads.com/book/show/133518.The_Things_They_Carried,Tim O'Brien,The Things They Carried,44781,546,4.13,277325
https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small,James Herriot,"All Creatures Great and Small (All Creatures Great and Small, #1)",44734,595,4.29,133741
https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach,Roald Dahl,James and the Giant Peach,44722,632,4.01,423892
https://www.goodreads.com/book/show/569564.The_Complete_Works,William Shakespeare,The Complete Works,44655,581,4.46,54044
https://www.goodreads.com/book/show/27494.Leaves_of_Grass,Walt Whitman,Leaves of Grass,44558,605,4.11,94082
https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,Diane Setterfield,The Thirteenth Tale,44497,540,3.96,296625
https://www.goodreads.com/book/show/3236307-graceling,Kristin Cashore,"Graceling (Graceling Realm, #1)",44487,527,4.06,430124
https://www.goodreads.com/book/show/29579.Foundation,Isaac Asimov,"Foundation (Foundation, #1)",44270,543,4.17,464498
https://www.goodreads.com/book/show/93.Heidi,Johanna Spyri,Heidi,44254,616,4.0,183873
https://www.goodreads.com/book/show/39662.Different_Seasons,Stephen King,Different Seasons,44107,593,4.33,191711
https://www.goodreads.com/book/show/8755776-city-of-lost-souls,Cassandra Clare,"City of Lost Souls (The Mortal Instruments, #5)",43475,542,4.23,483283
https://www.goodreads.com/book/show/4687.The_Cider_House_Rules,John Irving,The Cider House Rules,43135,581,4.14,170008
https://www.goodreads.com/book/show/7260188-mockingjay,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",42816,550,4.05,2663533
https://www.goodreads.com/book/show/10959.Sophie_s_World,Jostein Gaarder,Sophie's World,42720,517,3.94,228463
https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,Kazuo Ishiguro,Never Let Me Go,42676,519,3.83,557182
https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret,Judy Blume,"Are You There God? It's Me, Margaret",42357,567,3.9,204326
https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",42170,466,4.54,482293
https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,J.R.R. Tolkien,The Lord of the Rings,41713,501,4.5,612677
https://www.goodreads.com/book/show/16902.Walden,Henry David Thoreau,Walden,41656,559,3.77,177910
https://www.goodreads.com/book/show/9520360-the-son-of-neptune,Rick Riordan,"The Son of Neptune (The Heroes of Olympus, #2)",41383,521,4.41,484506
https://www.goodreads.com/book/show/16068905-fangirl,Rainbow Rowell,Fangirl,41288,476,4.0,669908
https://www.goodreads.com/book/show/9969571-ready-player-one,Ernest Cline,"Ready Player One (Ready Player One, #1)",40843,456,4.24,1001040
https://www.goodreads.com/book/show/7235533-the-way-of-kings,Brandon Sanderson,"The Way of Kings (The Stormlight Archive, #1)",40395,426,4.61,372696
https://www.goodreads.com/book/show/58345.The_Awakening,Kate Chopin,The Awakening,39942,509,3.66,182668
https://www.goodreads.com/book/show/12127750-the-mark-of-athena,Rick Riordan,"The Mark of Athena (The Heroes of Olympus, #3)",39584,485,4.44,505827
https://www.goodreads.com/book/show/228560.Sophie_s_Choice,William Styron,Sophie's Choice,39283,534,4.18,85864
https://www.goodreads.com/book/show/40937505,سید مرتضی مصطفوی,زندگی مه آلود پریا,39042,393,3.9,940
